Ref_produit,Categorie,Description,Marque
ZD122AA,Logistique,HP Special Equipment for Personal Systems,HP
AY691AA,PC/postes de travail,"HP Pavilion p6367c. Fréquence du processeur: 2,5 GHz, Famille de processeur: Intel® Core™2 Quad, Modèle de processeur: Q8300. Mémoire interne: 8 Go, Type de mémoire interne: DDR3-SDRAM, Fréquence de la mémoire: 1333 MHz. Capacité totale de stockage: 1 To, Supports de stockage: HDD, Lecteur optique: DVD Super Multi DL. Modèle d'adaptateur graphique inclus: Intel® GMA X4500HD. Système d'exploitation installé: Windows 7 Home Premium, Architecture du système d'exploitation: 64-bit. Alimentation d'énergie: 300 W. Type de châssis: Mini Tower. Type de produit: PC",HP
WH866UA,Laptops,HP Mini 210-1083NR PC,HP
AF042A-001,Extensions de garantie et support,HP Factory Express Base Racking Service,HP
AY046AV,PC/postes de travail,HP Compaq 8000f Elite Base Model Ultra-slim Desktop PC,HP
VT128PA,Laptops,HP Compaq 6730b Notebook PC (ENERGY STAR),HP
EZ320A5,Écrans plats de PC,HP LP3065 30-inch Widescreen LCD Monitor,HP
J9307AZ,Cartes réseau,HP ProCurve 24-Port 10/100/1000 PoE+ zl Module,HP
T3479AAE,Licences et mises à jour de logiciel,HP CM Application Usage Manager 1000 Users SW E-License,HP
CN444AAE,Logiciels utilitaires pour PC,HP Web Jetadmin Infrastructure Optimization Module Development Software,HP
HE855A1,Logiciels de développement,HP Ext Consultant Tuning Expenses SW SVC. Type: Logiciel de développement,HP
T3351BA,Licences et mises à jour de logiciel,HP OS Manager v4 Windows Desktop Radia SW License,HP
HE816A1,Logiciels de développement,HP Tier 3 Consulting for SSO EMEA SW SVC. Type: Logiciel de développement,HP
T3347BA,Licences et mises à jour de logiciel,HP CAE Application Usage Manager SW License,HP
TRO81023001,Cartouches de toner,HP TROY 8100/8150 MICR Secure Toner Cartridge,HP
T3916AA,Licences et mises à jour de logiciel,HP CM Application Manager v4i Unix Desktop Radia SW License,HP
T3352BA,Licences et mises à jour de logiciel,HP OS Manager Server Radia SW License,HP
TRO00548222,Imprimantes laser,HP TROY 9050TN MICR Secure 2T/2L/220V Printer,HP
T3922AA,Licences et mises à jour de logiciel,HP Desktop Management Unix Bundle v4i Radia SW License,HP
T4008AAE,Licences et mises à jour de logiciel,HP CM Management and Migration Suite SW E-License,HP
T4758AA,Licences et mises à jour de logiciel,HP CAE Management Suite Upgrade SW License,HP
