Ref_produit,Categorie,Description,Marque
42LH4900,TV,"LG 42LH4900. Taille de l'écran: 106,7 cm (42""), Résolution de l'écran: 1920 x 1080 pixels, Type HD: Full HD, Technologie d'affichage: LCD, Luminosité de l'écran: 500 cd/m², Format d'image: 16:9. Couleur du produit: Noir",LG
LN52A630M1F,TV,"Samsung LN52A630. Taille de l'écran: 132,1 cm (52""), Résolution de l'écran: 1920 x 1080 pixels, Type HD: Full HD, Technologie d'affichage: LCD, Luminosité de l'écran: 500 cd/m², Temps de réponse: 4 ms, Format d'image: 16:9. Couleur du produit: Noir",Samsung
984-000007,Stations d'accueil,"Logitech Pure-Fi Anywhere, White",Logitech
970123-1104,Sets d'enceintes,"Logitech X-230. Canaux de sortie audio: 2.1 canaux, Puissance évaluée de RMS: 32 W, Puissance de crête en sortie (PMPO): 64 W. Rapport signal-sur-bruit: 96 dB. Puissance des satellites RMS: 12 W. Puissance RMS du Subwoofer: 20 W",Logitech
984-000008,Stations d'accueil,"Logitech Pure-Fi Anywhere 2. Couleur du produit: Noir, Commande de volume: Numérique. Produits compatibles: 1G-3G iPod, iPhone",Logitech
980-000117,Sets d'enceintes,"Logitech G51. Canaux de sortie audio: 5.1 canaux, Puissance évaluée de RMS: 155 W, Puissance de crête en sortie (PMPO): 310 W. Rapport signal-sur-bruit: 94 dB. Puissance des satellites RMS: 20 W, Gamme de fréquence du haut-parleur satellite: 36 - 20000 Hz. Puissance RMS du Subwoofer: 55 W, Diamètre de pilote de subwoofer (impérial): 13,3 cm (5.24""), Dimensions du Subwoofer (L x H X P): 264 x 196 x 333 mm. Technologie de connectivité: Avec fil",Logitech
980239-1104,Écouteurs/casques,Logitech Mono 341. Type de produit: Écouteurs. Technologie de connectivité: Avec fil. Fréquence des écouteurs: 20 - 20000 Hz. Couleur du produit: Argent,Logitech
910-000424,Souris,"Logitech M-SBF90. Technologie de détecteur de mouvement: Optique, Interface de l'appareil: PS/2, Résolution en mouvement: 400 DPI, Quantité de boutons programmables: 3. Couleur du produit: Noir",Logitech
910-000370,Souris,"Logitech Mini Optical Glow Mouse. Technologie de détecteur de mouvement: Optique, Interface de l'appareil: USB Type-A, Résolution en mouvement: 1000 DPI, Quantité de boutons programmables: 2. Couleur du produit: Noir",Logitech
910-000483,Souris,"Logitech Vx Nano. Technologie de détecteur de mouvement: Laser, Interface de l'appareil: RF sans fil, Quantité de boutons programmables: 6. Couleur du produit: Noir",Logitech
920-000550,Claviers,"Logitech LX310. Technologie de connectivité: Sans fil, Interface de l'appareil: RF sans fil, Disposition des touches du clavier: QWERTY. Couleur du produit: Noir. Souris incluse",Logitech
967560-1104,Claviers,"Logitech 967560-1104. Technologie de connectivité: Avec fil, Interface de l'appareil: PS/2. Couleur du produit: Noir",Logitech
967529-1104,Claviers,"Logitech Standard Keyboard Plus. Technologie de connectivité: Avec fil, Interface de l'appareil: PS/2, Disposition des touches du clavier: QWERTY. Couleur du produit: Noir",Logitech
984-000059,Stations d'accueil,Logitech Pure-Fi Anywhere 2. Canaux de sortie audio: 2.0 canaux. Couleur du produit: Noir. Autonomie maximum de la batterie: 10 h. Produits compatibles: iPhone/iPod,Logitech
P6510-K62534US,Sacoches d'ordinateurs portables,"Kensington P6510. Type d'étui: Étui sac à dos, Taille maximale de l’écran: 35,6 cm (14""). Poids: 861,8 g",Kensington
960-000098,Webcams,"Logitech 960-000098. Mégapixel: 1,3 MP, Résolution vidéo maximale: 640 x 480 pixels, Cadence maximale: 30 ips. Interface: USB 2.0, Couleur du produit: Noir, Argent. Mémoire vive (RAM) minimale: 256 Mo. Processeur minimal: Pentium 4, 1.4MHz, Espace disque minimal: 200 Mo, Systèmes d'exploitation compatibles: Windows Vista/XP",Logitech
2699B027,Caméscopes numériques,"Canon LEGRIA FS100. Total des megapixels: 1,07 MP, Type de capteur: CCD (dispositif à transfert de charge), Taille du capteur optique: 25,4 / 6 mm (1 / 6""). Zoom optique: 37x, Zoom numérique: 2000x, Longueur focale: 2.6 - 96.2 mm. Cartes mémoire compatibles: SD, SDHC, Taille maximale de la carte mémoire: 16 Go. Distance minimale de mise au point: 10 m. Vitesse d'obturation de l'appareil photo: 1/6 - 1/2000 s",Canon
2699B005,Caméscopes numériques,"Canon LEGRIA FS100. Total des megapixels: 1,07 MP, Type de capteur: CCD (dispositif à transfert de charge), Taille du capteur optique: 25,4 / 6 mm (1 / 6""). Zoom optique: 37x, Zoom numérique: 2000x, Longueur focale: 2.6 - 96.2 mm. Cartes mémoire compatibles: SD, SDHC, Taille maximale de la carte mémoire: 16 Go. Distance minimale de mise au point: 10 m. Vitesse d'obturation de l'appareil photo: 1/6 - 1/2000 s",Canon
